TEAM_ABBREVIATION,POSITION,SEASON,AVG_PTS_ALLOWED,AVG_REB_ALLOWED,AVG_AST_ALLOWED,AVG_3PM_ALLOWED,PTS_RANK,REB_RANK,AST_RANK,3PM_RANK
TOR,C,2025-26,14.75242718446602,8.475728155339805,3.1844660194174756,0.9271844660194175,21,9,21,14
TOR,F,2023-24,8.246856078248719,3.08104331625524,1.7433628318584071,1.054960409874243,3,4,6,3
TOR,F,2024-25,7.440786660966225,2.88157332193245,1.5275758871312526,0.9474134245404019,11,11,15,19
TOR,F,2025-26,7.490566037735849,2.893867924528302,1.5778301886792452,0.9410377358490566,23,21,22,23
TOR,G,2023-24,16.322033898305083,3.4745762711864407,5.888135593220339,1.911864406779661,20,23,2,21
TOR,G,2024-25,16.1,3.223333333333333,4.35,1.9633333333333334,10,27,28,15
TOR,G,2025-26,16.292929292929294,2.898989898989899,4.116161616161616,1.9242424242424243,9,26,30,10
UTA,C,2023-24,17.93877551020408,8.616326530612245,3.979591836734694,1.0448979591836736,3,26,1,2
UTA,C,2024-25,16.656603773584905,8.550943396226415,3.5547169811320756,0.9962264150943396,6,22,10,5
UTA,C,2025-26,16.849514563106798,8.383495145631068,4.063106796116505,0.9563106796116505,6,13,1,12
UTA,F,2023-24,8.247847757136384,2.882193022202084,1.8405074762120526,1.095151789759855,2,23,1,2
UTA,F,2024-25,7.794968553459119,2.870020964360587,1.741299790356394,1.069601677148847,1,13,1,2
